simulation	scenario	maxUsers	request	start	startDate	duration	end	count	successCount	errorCount	min	p50	p95	p99	max	avg	stddev	rps	apdex	rating
sim50bench	org.nuxeo.cap.bench.Sim50Bench	35	_all	1448222481647	2015-11-22 21:01:21	62.88	1448222544528	2464	2464	0	0	7	456	610	1102	80.73	152	39.19	1.00	Excellent
sim50bench	NavigationJsf	10	Logout Redirect 1	1448222481647	2015-11-22 21:01:21	62.88	1448222542541	21	21	0	0	1	1	1	1	0.71	0	0.33	1.00	Excellent
sim50bench	NavigationJsf	10	Logout Redirect 2	1448222481647	2015-11-22 21:01:21	62.88	1448222542542	21	21	0	0	1	1	2	2	0.81	0	0.33	1.00	Excellent
sim50bench	NavigationJsf	10	Login redirect to workspace	1448222481647	2015-11-22 21:01:21	62.88	1448222542543	31	31	0	0	1	3	3	3	1.45	0	0.49	1.00	Excellent
sim50bench	NavigationJsf	10	Logout	1448222481647	2015-11-22 21:01:21	62.88	1448222542539	21	21	0	1	1	2	2	2	1.48	0	0.33	1.00	Excellent
sim50bench	UpdateDocuments	5	Wait For Async	1448222481647	2015-11-22 21:01:21	62.88	1448222544528	5	5	0	1	5	6	6	6	3.60	2	0.08	1.00	Excellent
sim50bench	NavigationRest	20	Get document folder	1448222481647	2015-11-22 21:01:21	62.88	1448222542581	100	100	0	1	3	10	67	68	4.31	7	1.59	1.00	Excellent
sim50bench	NavigationRest	20	Get document with lock	1448222481647	2015-11-22 21:01:21	62.88	1448222542364	109	109	0	5	6	10	29	31	6.44	2	1.73	1.00	Excellent
sim50bench	NavigationRest	20	Get document with versionLabel	1448222481647	2015-11-22 21:01:21	62.88	1448222541524	125	125	0	5	6	13	407	545	10.82	48	1.99	1.00	Excellent
sim50bench	NavigationRest	20	Get document	1448222481647	2015-11-22 21:01:21	62.88	1448222543294	382	382	0	5	6	13	251	488	11.05	35	6.07	1.00	Excellent
sim50bench	NavigationRest	20	Get document dc only	1448222481647	2015-11-22 21:01:21	62.88	1448222542182	113	113	0	4	5	13	601	694	12.04	64	1.80	1.00	Excellent
sim50bench	UpdateDocuments	5	Update File	1448222481647	2015-11-22 21:01:21	62.88	1448222543076	582	582	0	5	8	17	41	797	12.06	46	9.26	1.00	Excellent
sim50bench	NavigationRest	20	Get document with thumbnail	1448222481647	2015-11-22 21:01:21	62.88	1448222541063	124	124	0	5	7	14	542	712	13.40	63	1.97	1.00	Excellent
sim50bench	NavigationRest	20	Get document with breadcrumb	1448222481647	2015-11-22 21:01:21	62.88	1448222542477	123	123	0	6	8	26	559	667	16.49	62	1.96	1.00	Excellent
sim50bench	NavigationRest	20	Get document with acl	1448222481647	2015-11-22 21:01:21	62.88	1448222543365	122	122	0	3	6	10	713	783	18.42	82	1.94	1.00	Excellent
sim50bench	NavigationJsf	10	View document files tab	1448222481647	2015-11-22 21:01:21	62.88	1448222534459	30	30	0	127	145	245	257	257	164.63	37	0.48	1.00	Excellent
sim50bench	NavigationJsf	10	View document relation tab	1448222481647	2015-11-22 21:01:21	62.88	1448222536033	30	30	0	141	156	249	253	253	173.63	35	0.48	1.00	Excellent
sim50bench	NavigationJsf	10	View document permission tab	1448222481647	2015-11-22 21:01:21	62.88	1448222535230	30	30	0	128	146	573	965	965	183.37	150	0.48	1.00	Excellent
sim50bench	NavigationJsf	10	View document publish tab	1448222481647	2015-11-22 21:01:21	62.88	1448222536293	60	60	0	130	148	244	978	978	184.62	139	0.95	1.00	Excellent
sim50bench	NavigationJsf	10	View document	1448222481647	2015-11-22 21:01:21	62.88	1448222543616	171	171	0	191	226	313	498	888	240.78	62	2.72	1.00	Excellent
sim50bench	NavigationJsf	10	View document edit tab	1448222481647	2015-11-22 21:01:21	62.88	1448222534306	30	30	0	162	197	1050	1102	1102	256.00	219	0.48	1.00	Excellent
sim50bench	NavigationJsf	10	View document history tab	1448222481647	2015-11-22 21:01:21	62.88	1448222536665	30	30	0	198	218	1037	1102	1102	289.00	209	0.48	1.00	Excellent
sim50bench	NavigationJsf	10	Login redirect to workspace Redirect 1	1448222481647	2015-11-22 21:01:21	62.88	1448222542784	31	31	0	241	283	377	380	380	293.71	42	0.49	1.00	Excellent
sim50bench	NavigationJsf	10	View parent folder	1448222481647	2015-11-22 21:01:21	62.88	1448222543635	173	173	0	354	472	612	671	678	487.95	65	2.75	1.00	Excellent
sim50bench	org.nuxeo.cap.bench.Sim50Bench	35	_all	1447877630021	2015-11-18 21:13:50	61.95	1447877691975	2571	2571	0	0	7	483	634	1282	87.12	162	41.50	1.00	Excellent
sim50bench	NavigationJsf	10	Logout Redirect 1	1447877630021	2015-11-18 21:13:50	61.95	1447877688466	26	26	0	0	1	2	3	3	0.92	0	0.42	1.00	Excellent
sim50bench	NavigationJsf	10	Logout Redirect 2	1447877630021	2015-11-18 21:13:50	61.95	1447877688467	26	26	0	0	1	5	8	8	1.19	1	0.42	1.00	Excellent
sim50bench	NavigationJsf	10	Login redirect to workspace	1447877630021	2015-11-18 21:13:50	61.95	1447877688468	36	36	0	0	1	12	27	27	2.28	4	0.58	1.00	Excellent
sim50bench	UpdateDocuments	5	Wait For Async	1447877630021	2015-11-18 21:13:50	61.95	1447877691975	5	5	0	2	4	8	8	8	4.40	2	0.08	1.00	Excellent
sim50bench	NavigationRest	20	Get document with thumbnail	1447877630021	2015-11-18 21:13:50	61.95	1447877690931	125	125	0	5	7	10	28	31	7.24	2	2.02	1.00	Excellent
sim50bench	NavigationRest	20	Get document with acl	1447877630021	2015-11-18 21:13:50	61.95	1447877691269	111	111	0	5	6	20	301	318	11.80	33	1.79	1.00	Excellent
sim50bench	NavigationRest	20	Get document folder	1447877630021	2015-11-18 21:13:50	61.95	1447877690008	130	130	0	1	3	10	526	562	12.24	63	2.10	1.00	Excellent
sim50bench	NavigationRest	20	Get document with lock	1447877630021	2015-11-18 21:13:50	61.95	1447877690479	106	106	0	1	6	15	553	593	12.49	57	1.71	1.00	Excellent
sim50bench	NavigationRest	20	Get document dc only	1447877630021	2015-11-18 21:13:50	61.95	1447877691429	136	136	0	3	5	11	547	659	13.18	63	2.20	1.00	Excellent
sim50bench	UpdateDocuments	5	Update File	1447877630021	2015-11-18 21:13:50	61.95	1447877691581	598	598	0	6	8	17	379	683	14.72	56	9.65	1.00	Excellent
sim50bench	NavigationRest	20	Get document with breadcrumb	1447877630021	2015-11-18 21:13:50	61.95	1447877690720	115	115	0	6	8	31	506	595	15.23	54	1.86	1.00	Excellent
sim50bench	NavigationRest	20	Get document	1447877630021	2015-11-18 21:13:50	61.95	1447877690669	372	372	0	5	7	18	421	659	16.59	64	6.00	1.00	Excellent
sim50bench	NavigationRest	20	Get document with versionLabel	1447877630021	2015-11-18 21:13:50	61.95	1447877691349	132	132	0	4	6	27	672	680	25.61	99	2.13	1.00	Excellent
sim50bench	NavigationJsf	10	Logout	1447877630021	2015-11-18 21:13:50	61.95	1447877688464	26	26	0	1	1	614	630	630	47.96	164	0.42	1.00	Excellent
sim50bench	NavigationJsf	10	View document permission tab	1447877630021	2015-11-18 21:13:50	61.95	1447877689576	32	32	0	129	151	217	225	225	160.75	28	0.52	1.00	Excellent
sim50bench	NavigationJsf	10	View document files tab	1447877630021	2015-11-18 21:13:50	61.95	1447877690316	33	33	0	132	152	225	236	236	161.18	31	0.53	1.00	Excellent
sim50bench	NavigationJsf	10	View document publish tab	1447877630021	2015-11-18 21:13:50	61.95	1447877690036	63	63	0	127	146	238	897	897	169.67	97	1.02	1.00	Excellent
sim50bench	NavigationJsf	10	View document relation tab	1447877630021	2015-11-18 21:13:50	61.95	1447877686255	31	31	0	139	157	272	282	282	173.39	37	0.50	1.00	Excellent
sim50bench	NavigationJsf	10	View document edit tab	1447877630021	2015-11-18 21:13:50	61.95	1447877691455	34	34	0	163	184	274	282	282	199.44	34	0.55	1.00	Excellent
sim50bench	NavigationJsf	10	View document history tab	1447877630021	2015-11-18 21:13:50	61.95	1447877686860	31	31	0	194	225	329	338	338	235.71	37	0.50	1.00	Excellent
